City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,new norfolk,-42.7826,147.0587,6.51,71,91,0.45,AU,1683495196
83,santa isabel,-23.3156,-46.2214,24.84,80,79,0.58,BR,1683495616
84,kingston,17.997,-76.7936,29.56,90,75,4.63,JM,1683495616
85,todos santos,23.45,-110.2167,25.13,43,94,4.11,MX,1683495617
86,st. john's,47.5649,-52.7093,8.87,64,75,7.72,CA,1683495617
87,tiganesti,43.9,25.3667,13.67,69,15,2.6,RO,1683495617
88,tutoia,-2.7619,-42.2744,26.44,85,75,3.47,BR,1683495618
89,glace bay,46.1969,-59.957,12.4,40,75,10.29,CA,1683495618
90,piacabucu,-10.4056,-36.4344,25.41,80,2,3.01,BR,1683495265
91,lae,-6.7221,146.9847,23.37,71,61,3.27,PG,1683495618
92,sinop,41.7711,34.8709,9.83,94,100,1.96,TR,1683495619
93,dudinka,69.4058,86.1778,-16.26,91,91,3.98,RU,1683495619
94,safi,32.1667,-8.8333,16.26,83,38,9.85,MA,1683495619
95,lata,40.1629,-8.3327,16.56,88,18,0.91,PT,1683495619
96,nizhneudinsk,54.9076,99.0276,6.25,66,12,1.13,RU,1683495619
97,kalmunai,7.4167,81.8167,25.46,81,100,1.9,LK,1683495620
98,fortuna,40.5982,-124.1573,18.29,61,94,2.24,US,1683495067
99,muisne,0.6,-80.0333,27.91,83,93,3.75,EC,1683495202
100,cabo san lucas,22.8909,-109.9124,33.17,43,75,4.63,MX,1683495140
101,changyon,38.2508,125.0961,11.76,67,67,1.46,KP,1683495621
102,morehead city,34.7229,-76.726,27.01,71,0,8.75,US,1683495622
103,sitka,57.0531,-135.33,10.94,62,40,3.6,US,1683495109
104,dzhambeyty,50.2536,52.595,10.75,36,100,8.0,KZ,1683495623
105,istgah-e rah ahan-e garmsar,35.2346,52.3094,24.77,16,58,3.48,IR,1683495624
106,lerwick,60.1545,-1.1494,8.0,94,100,10.19,GB,1683495624
107,mujiayingzi,42.1167,118.7833,10.87,22,58,3.45,CN,1683495624
108,rodniki,57.1051,41.7305,-1.17,76,8,2.85,RU,1683495625
109,shimanovsk,52.0,127.7,1.79,94,100,6.91,RU,1683495625
110,acapulco de juarez,16.8634,-99.8901,31.9,70,20,6.17,MX,1683495400
111,mitu,1.1983,-70.1733,25.41,96,96,0.01,CO,1683495625
112,mahina,-17.5065,-149.489,29.87,70,40,5.66,PF,1683495625
113,el fasher,13.6279,25.3494,30.03,11,45,4.66,SD,1683495626
114,lihue,21.9789,-159.3672,26.58,66,75,8.75,US,1683495626
115,vernon,50.2581,-119.2691,17.39,60,100,2.24,CA,1683495626
116,hithadhoo,-0.6,73.0833,28.21,73,15,6.91,MV,1683495167
117,ebon,4.582,168.6964,28.47,78,100,5.49,MH,1683495626
118,elliot lake,46.3834,-82.6331,9.72,95,100,2.48,CA,1683495573
119,walvis bay,-22.9575,14.5053,12.83,87,0,2.06,,1683495626
120,rawah,34.4816,41.9093,23.23,27,4,2.31,IQ,1683495627
121,sultanah,24.4926,39.5857,30.25,10,0,2.57,SA,1683495627
122,saipan,15.1355,145.701,27.58,100,40,3.09,MP,1683495627
123,puerto ayora,-0.7393,-90.3518,27.53,92,59,2.24,EC,1683495196
124,san sebastian de la gomera,28.0916,-17.1133,23.2,46,0,5.66,ES,1683495627
125,georgetown,5.4112,100.3354,26.97,94,20,1.54,MY,1683495075
126,corfu,39.62,19.9197,15.88,88,0,0.0,GR,1683495628
127,gordonvale,-17.0936,145.7842,24.41,90,85,2.97,AU,1683495628
